Subject,Number,Description
BCS,115,"Exploration of South Slavic cultures in the historically rich and complex region sometimes referred to as ""the Balkans,"" focusing particularly on those groups found within the successor states of the former Yugoslavia. Critical look at the traditional view of the region as the crossroads or the bridge between East and West, and at the term Balkanization which has become a pejorative term used to characterize fragmented, and self-defeating social systems."
BDI,367,"Once a researcher or a practitioner has completed the analyses of their data, they may assume that it is a simple process to communicate their findings to relevant stakeholders, but this is almost always an incorrect assumption. Proper data communication and storytelling begins even before data is analyzed and there are proven strategies to better connect the story behind and from the data to relevant stakeholders, especially within the context of business practice. This course will focus on helping students better position themselves to successfully tell the persuasive story flowing from their data. We will use tools such as Tableau, Flourish, and the Social Media Macroscope to assist our data storytelling journey. Prerequisite: Restricted to Sophomores, Juniors, and Seniors."
BDI,411,"A Blockchain is a decentralized, distributed, public ledger that contains transactions grouped together into blocks that are chained together by using cryptography. Since the introduction of Bitcoin, blockchain technology has continued to evolve, leading to an explosion of applications in areas as diverse as accounting, finance, information systems, marketing, and supply chains. As a result, blockchains are profoundly impacting business and governments around the world. This course introduces blockchain technologies including new constructs such as digital currencies, distributed ledgers, smart contracts, tokens, and decentralized autonomous organizations, and explores their application in business and society. This course has no pre-requisites and is open to students from any college. 3 undergraduate hours. 4 graduate hours."
BDI,475,"Introduces the role, methods, and implications of data analytics in business. Building on prior coursework on the fundamentals of analytics and related statistical analyses, this course provides students the opportunity to apply related theoretical and practical principles to a variety of business scenarios. After completing this course, students should (1) have a foundational understanding of the role of data analytics in business and (2) be able to apply this knowledge to real-world clients, business decisions, etc. This course will provide you the opportunity to develop and improve (1) written and oral communication skills in the form of interpersonal interaction, discussion, reports/presentations, etc., (2) knowledge of the use of spreadsheets, Python, and other analytics tools in performing common business analytics and decision-modeling, and (3) knowledge of data visualization software used for analytics-related exploration, hypothesis testing, and results-based organization and communication. Cases, class discussion, and other projects emphasize the importance of independent thinking, group processes, and communication for professional business practice. 3 undergraduate hours. No graduate credit."
BDI,477,"With the explosive growth of new technologies, seemingly every profession is facing potential disruption. In fact, some claim that artificial intelligence alone will displace millions of jobs; while others claim that this same technology will also create even more jobs. In this course we explore how to peer through the fog of disruption in order to make informed strategic decisions. Specifically, in this course you will learn about strategic framing to understand the global landscape, we will discuss probability and risk to quantify the opportunities and challenges, and we will examine different technologies at a high-level and discuss how they may impact, positively and negatively, both society and business. This course has no pre-requisites and is open to students from any college. 3 undergraduate hours. 4 graduate hours."
BDI,513,"Once a researcher or a practitioner has completed the analyses of their data, they may assume that it is a simple process to communicate their findings to relevant stakeholders, but this is almost always an incorrect assumption. Proper data communication and storytelling begins even before data are analyzed and there are proven strategies to better connect the story behind and from the data to relevant stakeholders, especially within the context of business practice. This course will focus on helping students better position themselves to successfully tell the persuasive story flowing from their data. Prerequisite: Enrollment in a graduate degree program or consent of the department."
BDI,577,"In today's rapidly evolving technological landscape, it is crucial for individuals to develop a comprehensive understanding of emerging technologies and their potential impact on various sectors. This course aims to equip students with the knowledge and skills necessary to critically analyze emerging technologies, assess their development, explore current applications, and identify challenges that may hinder their future impact. Credit is not given toward graduation for both BDI 477 and BDI 577. Prerequisite: Restricted to students in the online Master of Business Administration (iMBA) program or the online Master of Science in Accountancy (iMSA) program."
BIOC,445,"Capstone course of the Biochemistry Specialized Curriculum, designed to expose undergraduate seniors to developing areas of research in biochemistry. Each year the course will cover 3 to 4 topics of high current research activity, each presented by one faculty member. Readings will be based on the primary lecture. 3 undergraduate hours. No graduate credit. Prerequisite: Senior standing in the Biochemistry Specialized Curriculum; MCB 354 and MCB 406 or consent of instructor."
BIOC,446,"Physical properties of biological macromolecules, with the emphasis on spectroscopic methods, including UV, visible and FTTR spectroscopies, magnetic resonance techniques as well as X-ray diffraction methods. Same as CHEM 472 and MCB 446. 3 undergraduate hours. 3 graduate hours. Prerequisite: It is strongly recommended to take CHEM 440 (section B) prior to this course. MCB 354 or MCB 450 or equivalent background in biochemistry is also recommended."
BIOC,455,"Introduction to modern methods of experimentation with biochemical experimentation. Lectures and labs on the theory and practices underlying various methods and instrumentation. Includes protein purification and quantitative analyses, immunoassays, enzymology, peptide sequencing, lipid analysis, carbohydrate analysis, and bioinformatics. 4 undergraduate hours. 4 graduate hours. Prerequisite: CHEM 232 or CHEM 236, or equivalent; credit in MCB 251 or equivalent, and MCB 354 or MCB 450 or equivalent, or consent of instructor."
BIOC,460,"Writing intensive course dealing with the technical literature, current issues, and current advances in Biochemistry. 3 undergraduate hours. 3 graduate hours. Graduate students may register, but priority will be given to undergraduate students. Prerequisite: Completion of the Campus Composition I general education requirement; MCB 354 and BIOC 455, or consent of instructor."
BIOE,100,"Bioengineering Seminar provides a broad introduction to the field, practice, and curriculum of Bioengineering. The major goals are for students to (1) meet the department faculty, (2) understand the curriculum and the 4-year goals, (3) understand and apply technologies central to the field through individual and group projects, (4) begin independent explorations into technologies in the field, and (5) practice teamwork, technical writing, and presentation. The course is designed for first-year Bioengineering majors."
BIOE,120,"Lectures and discussions of recent trends in bioengineering; topics typically include biological interaction with ultrasound and microwave radiation, modeling, instrumentation, biomaterials, biomechanics, biological heat and mass transfer, and medical imaging techniques."
BIOE,198,Subject offerings related to Bioengineering intended to augment the Bioengineering curriculum. Offerings will be at the freshman level. See class schedule or course information websites for topics and prerequisites. May be repeated if topics vary. Prerequisite: Majors only.
BIOE,199,May be repeated.
BIOE,201,"Material, energy, charge, and momentum balances in biological problems. Steady-state and transient conservation equations for mass, energy, charge, and momentum will be derived and applied to mathematically analyze physiological systems using basic mathematical principles, physical laws, stoichiometry, and thermodynamic properties. Prerequisite: CHEM 104, MCB 150, and PHYS 211."
BIOE,202,"Principles of cell biology inherent in tissue engineering design. Lab experience in safely and skillfully manipulating cells of the four tissue types and performing various quantitative analyses on products produced by cells that have differentiated. Prerequisite: MCB 150, and credit or concurrent enrollment in BIOE 206."
BIOE,205,"Introduction to signals and linear systems with examples from biology and medicine. Linear systems and mathematical models of systems, including differential equations, convolution, Laplace transforms, Fourier series and transforms, and discrete representations. Class examples and coursework apply general techniques to problems in biological signal analysis, including circuits, enzyme kinematics, and physiological system analysis. Use of Matlab and Simulink software to understand more complex systems. Prerequisite: CS 101 or CS 124, PHYS 212, and credit or concurrent registration in MATH 285."
BIOE,206,"Molecular and cellular biology focusing on instrumentation and measurement techniques: gene expression, translation, and regulation; cellular energetics and enzyme kinetics; membrane transport and cell signaling; cytoskeleton and the cell cycle; cell biology fundamentals emphasizing modern imaging and measurement systems to quantify cellular function. Credit is not given for both BIOE 206 and MCB 252. Prerequisite: MCB 150."
BIOE,210,"Using analytical and computational tools from linear algebra, students will Solve large systems of linear equations, systems of linear ODEs, and linear PDEs; Analyze large, multivariable datasets to quantify relationships between variables; Decompose complex datasets into simpler representations; Introduce and solve common problems in classification, image processing, and machine learning; Develop a geometric understanding of high-dimensional spaces. Prerequisite: CS 101 or CS 124, and MATH 231."
BIOE,220,"An integrative view of functional organization and energy transfer in biological systems. Emphasis on dynamics and kinetics of quantum, sub-molecular, and molecular interactions for metabolism. Topics include biomolecules of life, laws of thermodynamics, enzyme kinetics, protein-ligand binding, DNA binding, and modeling of molecular systems. Prerequisite: BIOE 201, BIOE 206, CS 101, MATH 285, CHEM 232. Departmental approval required for non-majors."
BIOE,298,Subject offerings of new and developing areas of knowledge in bioengineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. May be repeated in the same or separate terms if topics vary to a maximum of 8 hours.
BIOE,301,"Structure and mechanics of biological systems. Statics, dynamics, stress-strain analysis, Newtonian mechanics, and continuum mechanics. Applications to bone, soft tissue, and cells. Prerequisite: PHYS 211."
BIOE,302,"Description, quantification, and modeling of human physiological systems, based on systems fundamentals. Components, relationships, and homeostatic controls of neural, musculoskeletal, respiratory, cardiovascular, endocrine, digestion, and renal-filtration systems. Application of mathematical modeling and MATLAB simulation to further understanding of the systems and relate physiological consequences to changes in environment or component function. Prerequisite: BIOE 205 and one of MCB 252 or BIOE 206."
BIOE,303,"Experiments involving the modeling and measurement of animal and human physiology systems. Use of computer simulations to provide mathematical descriptions of physiology behavior. Calibration and validation of models through hands-on experiments. Focus on quantitative measurement of neural, cardiovascular, respiratory, muscular, and endocrine system functions. Prerequisite: Concurrent enrollment in BIOE 302 is allowed."
BIOE,310,"Fundamental and applied statistics, including probability distributions, parameter estimation, descriptive statistics, hypothesis testing, and linear regression. Statistical methods in genomics including sequence analysis, gene expression data analysis, human genomic variation, regulatory genomics, and cancer genomics. Credit is not given towards graduation for both BIOE 310 and IE 300. Prerequisite: BIOE 210 or MATH 257. Students in the BS-BIOE must take BIOE 210 as the prerequisite."
BIOE,360,"Fundamentals of fluid dynamics and mass transport applied to analysis of biological systems. Quantitative understanding of microscopic to macroscopic phenomena in biological systems related to their sensing by imaging techniques. Molecular phenomena in both healthy tissue and disease using examples from cardiovascular problems and cancer using ultrasound, optical and MRI techniques. Credit is not given for both BIOE 360 and any of CHBE 421, CHBE 451, or TAM 335. Prerequisite: BIOE 201 and MATH 285."
BIOE,398,Subject offerings of new and developing areas of knowledge in bioengineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. May be repeated in the same or separate terms if topics vary to a maximum of 8 hours.
BIOE,400,"Students perform market research and explore entrepreneurship in bioengineering resulting in the design of a device or process; practice problem identification and analyze solutions for real-world problems from the perspective of value added for end-users; use principles of design, engineering analysis, and customer discovery. This course emphasizes effective teamwork and technical communication; integrates intellectual property, United States Food and Drug Administration Quality System Regulation and Design Controls, human-centered design, FDA regulation, professionalism, and ethics. 4 undergraduate hours. No graduate credit. Prerequisite: BIOE 302, BIOE 303, BIOE 414, BIOE 415. Restricted to students in the Bioengineering Bachelor of Science program."
BIOE,414,"Engineering aspects of the detection, acquisition, processing, and display of signals from living systems; biomedical sensors for measurements of biopotentials, ions and gases in aqueous solution, force, displacement, blood pressure, blood flow, heart sounds, respiration, and temperature; therapeutic and prosthetic devices; medical imaging instrumentation. Same as ECE 414. 3 undergraduate hours. 3 graduate hours. Prerequisite: BIOE 205, ECE 205 or ECE 210."
BIOE,415,Laboratory to accompany BIOE 414. Use of sensors and medical instrumentation for static and dynamic biological inputs. Measurement of biomedical signals. Same as ECE 415. 2 undergraduate hours. 2 graduate hours. Prerequisite: Credit or concurrent registration in BIOE 414.
BIOE,420,"Systems engineering approach to modeling physiological systems to examine natural biological control systems, homeostasis, and control through external medical devices. Introduces open loop and closed loop feedback control; Laplace and Fourier analysis of system behavior; impulse and steady state responses; physiological modeling and system identification; and stability. Includes biological systems for endocrine function, muscle position, neuronal circuits, and cardiovascular function. Mathematical modeling, Matlab and Simulink simulation, and physiological measurements to relate control systems to maintenance of internal environment. 3 undergraduate hours. No graduate credit. Credit is not given for BIOE 420 if credit for AE 353, ECE 486, SE 320, or ME 340 has been earned. Prerequisite: BIOE 302, BIOE 303, BIOE 414, BIOE 415."
BIOE,430,"Introduction to the field of synthetic biology. Engineering applications of biomolecular systems and cellular capabilities for a variety of application biological background of gene regulation, experimental methods for circuit engineering, and mathematical basis for circuit modeling. Examples in biofuels, biomedicine, and other areas will be discussed. 3 undergraduate hours. 4 graduate hours. Prerequisite: BIOE 206 or MCB 252; and MATH 285."
BIOE,434,"Students will explore the field of immunoengineering, including basic and translational research for disease intervention and management, with rigorous investigation of the design principles underlying immunologically-based therapies and diagnostics. Students will learn to critically analyze scientific findings and develop effective written and oral communication skills through lectures, literature discussions, in-class activities, and a project requiring students to develop and present novel solutions to address limitations in existing technology in the field. 3 undergraduate hours. 4 graduate hours. Credit is not given toward graduation for BIOE 434 and either BIOE 498 AL or BIOE 598 AL. Prerequisite: Background in advanced biology or related field."
BIOE,435,"Capstone bioengineering design activity to develop solutions to projects provided by academia, industry, or clinical settings, utilizing principles of design, engineering analysis, and functional operation of engineering systems. Concept-design, safety, human-factors, quality, and Six-Sigma considerations. Initial solution proposals meeting professional technical-writing and communication standards. Concluded in BIOE 436. 2 undergraduate hours. No graduate credit. Prerequisite: BIOE 414, BIOE 415, BIOE 302, and BIOE 303."
BIOE,436,"Continuation of BIOE 435. Design teams finalize concepts, evaluate alternatives, model and analyze solutions, build and test a final product, and present the results professionally to project sponsors. 2 undergraduate hours. No graduate credit. Prerequisite: BIOE 435."
BIOE,450,"The interaction between living organisms and substances (drugs) that impact physiology and disease are the focus areas of this course. Concepts are integrated across equilibrium thermodynamics, kinetics, mass transfer, organic chemistry, biochemistry, and structural biology to understand drug design and function. Students will develop skills in quantitative aspects of medicinal chemistry, pharmacodynamics, and pharmacokinetics through mathematical models and computer simulations. 3 undergraduate hours. 4 graduate hours. Credit is not given toward graduation for BIOE 450 and either BIOE 498 QP or BIOE 598 QP. Prerequisite: CS 101 or CS 124, CHEM 232 or CHEM 236, MCB 150, MATH 231."
BIOE,476,"Tissue engineering therapies for cell-based, material-based, and therapeutic-based solutions. Stem cells, immunology, and clinical applications. 3 undergraduate hours. 3 graduate hours. Prerequisite: MCB 150 and BIOE 206."
BIOE,479,"An elective course for undergraduate students who are interested in learning nanotechnology and its applications in biology and medicine. Key topics include: (1) cancer biology and clinical oncology, (2) fundamentals of nanoscience, (3) principles of nanoscale engineering, (4) major classes of nanoparticles and nanostructures, and (5) nanomedicine - technologies and applications 3 undergraduate hours. No graduate credit. Approved for Letter and S/U grading. Prerequisite: BIOE 206, CHEM 232."
BIOE,484,"Biomedical image data often come in extreme numbers: there is either so many of them that humans can't analyze them in reasonable time (e.g., three-dimensional light sheet microscopy data) or they are few, highly varied and of limited spatial and intensity resolutions (e.g., positron emission tomography scans). Furthermore, the extraction of image features and the characterization of modality-dependent background noise can be particularly challenging in typical biomedical scenarios. In this course, several applications of statistical learning to biomedical image data will be covered in depth from first principles. Analyses will be done in Python using the Scikit-learn package and all homework assignments comprise statistical analyses of biomedical image data in real decision scenarios. Histogram transforms and the fundamental properties of image texture will be introduced and revisited throughout the course. The extraction of both low- and high-order spatial features at multiple scales will be demonstrated and employed throughout the course. Support vector machines will be introduced and applied to image classification and interpretation tasks. The random forest algorithm will be introduced and used on a number of large- and small-data tasks. Multiple linear regression will be applied to neuroimaging data and some common methods of assessing model robustness shown. Cross-validation of image-derived decisions and some common methods of assessing model robustness will be shown. Feature selection and dimensionality will be discussed in terms of diagnostic task performance. The effects of inter-feature correlation upon prediction confidence will be discussed. Principal component analysis will be described and applied to various image processing tasks. Unsupervised clustering and cluster analysis of extracted image features will be introduced. Stochastic object models will be introduced and applied in various validation tasks. 3 undergraduate hours. 4 graduate hours. Prerequisite: BIOE 485 or permission of the instructor. Students are expected to be familiar with calculus, basic probability & sampling, vector spaces, matrix algebra and constrained optimization. Several NumPy objects and manipulations will be reviewed, and all necessary Sci-kit functions introduced; however, students are expected to have substantial experience with Python programming as the basics of such will not be covered."
BIOE,485,"Covers fundamental mathematical and computational methods needed to implement computational imaging and machine learning solutions. First, relevant aspects of probability theory, matrix decompositions, and vector calculus will be introduced. Subsequently, methods that underline approximate inference, such as stochastic sampling methods, are introduced. Finally, numerical optimization methods that represent core components of computed imaging and machine learning will be introduced. This will include numerical optimization-based formulations of inverse problems. An emphasis will be placed on first order deterministic and stochastic gradient-based methods. Second order optimization techniques including quasi-Newton and Hessian free methods will also be surveyed. The application of these methods to computed imaging and machine learning problems will be addressed in detail. 4 undergraduate hours. 4 graduate hours. Prerequisite: Restricted to senior undergraduate or graduate standing in an engineering degree program or consent of instructor."
BIOE,486,"Covers basic concepts, methodology and algorithms in deep learning and their applications to solve various biomedical imaging problems. Introduction to neural networks and their application to supervised and unsupervised learning problems formulated for biomedical imaging will be provided. Connections between general learning methodologies and specific challenges in the field of biomedical imaging, and design, implementation and evaluation of deep neural network-based solutions to imaging problems will be emphasized. Problems covered will include imaging system design and optimization, image recovery and reconstruction (built on the imaging physics and system course – BIOE 483), image processing (e.g., denoising, super-resolution and enhancement) and image analysis (e.g., same-contrast, multi-contrast and multimodal image registration, segmentation, classification and quality assessment). Biomedical application specific problems and solutions will be covered via hands-on problems and team-based projects. 3 undergraduate hours. 4 graduate hours. Prerequisite: MATH 241 or equivalent; BIOE 210, MATH 415 or equivalent; BIOE 310, ECE 310, STAT 410 or equivalent; BIOE 198, CS 101 or equivalent; BIOE 483; BIOE 485; or consent of the instructor."
BIOE,487,"Stem Cell Bioengineering will provide a foundation in the application of engineering approaches for the quantitative analysis of stem cell biology and the translation of stem cells into therapies. There will be 4 main sections of the course; (i) Stem Cell Basics, (ii) Stem Cell Genetics, (iii) Stem Cell Microenvironments, and (iv) Stem Cell Applications. The course will be targeted for first year graduate students and senior-level undergraduate students. The course will use a lecture and discussion format to effectively present relevant information. 3 undergraduate hours. 4 graduate hours. Prerequisite: BIOE 476."
BIOE,498,Subject offerings of new and developing areas of knowledge in bioengineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated if topics vary.
BIOE,502,"Ethical questions and conduct, procedures, and professional standards in the practice of bioengineering. Authorship and mentoring, use of animal and human subjects, conflict of interest, ethical behavior in scientific research, intellectual property, and approval processes for drugs and biomedical devices. 2 graduate hours. No professional credit."
BIOE,504,"Mathematical concept relating to modeling of physiological and bio-molecular processes and the instrumentation used to measure those processes. Review of matrix methods, probability, linear systems, and integral transforms. Singular value decomposition, Bayesian decision making, and linear system solutions to ordinary differential equations. Application of concepts to biosensor design and evaluation, tracer kinetic modeling, and filtering and curve-fitting approaches to forward modeling problems. Prerequisite: MATH 285."
BIOE,505,Mathematical and statistical models plus accompanying computational techniques central to many aspects of systems biology and bioengineering research. Theory of supervised and unsupervised learning; linear models; dimension reduction; Monte Carlo computation; analysis of gene expression data and genome sequence data; modeling of gene transcription network signaling pathways. Same as CSE 505. 4 graduate hours. No professional credit. Prerequisite: STAT 400.
BIOE,507,"Instrumentation and underlying theory employed in bioengineering. Concepts in the design and operation of sensors, fundamentals of optics, basic control theory and systems, digital components, and fundamental principles of medical imaging techniques. Specific knowledge of one biomedical instrument or system will be emphasized including detailed mathematical analysis. Prerequisite: BIOE 504."
BIOE,573,"Introduction to fundamental principles of design, management, and improvement of business operations and product innovations. Strategies and techniques for managing processes, projects, process improvement and new product development. 4 graduate hours. No professional credit. Prerequisite: For students enrolled in the M.Eng in Bioengineering degree program."
BIOE,574,"Tools, concepts, and analytical frameworks that enhance the ability to define and analyze strategic problems stemming from innovation and technological change, and to identify sources of competitive advantage from both an industry and firm-level perspective. Introduction to financial decision making, including topics in valuation, project analysis and risk-return relationships. 4 graduate hours. No professional credit. Prerequisite: For students enrolled in the M.Eng. in Bioengineering degree program only."
BIOE,575,"Students in the Master of Engineering (M.Eng.) in Bioengineering program will demonstrate their proficiency through a capstone project, where students will work on a translational project to develop solutions for real world problems utilizing principles of design, engineering analysis, and functional operation of engineering systems. Depending on the student's flexibility and availability, capstone projects may include collaboration with other online M.Eng. students on a team-based project, analysis of case studies, or even a self-directed project that directly relates to a specific area of interest or on behalf of their employer. Project presentations and demonstrations may be required at the end of the program. 3 graduate hours. No professional credit. May be repeated for 6 hours in separate semesters. Students in the Master of Engineering program will be required to sign up for BIOE 575 in both the Fall and Spring semesters. Prerequisite: Proficiency in MATLAB and completion of or concurrent enrollment in core classes required for the Master of Engineering (M.Eng.) in Bioengineering program. Class only available to students in the M.Eng. in Bioengineering degree program."
BIOE,580,"Exposes students to a broad treatment of the mathematical and statistical principles of biomedical imaging. In addition to providing a foundation for understanding general principles of image formation and objective image quality assessment that are widely applicable, this material will be essential for the principled and successful application of artificial intelligence methods in biomedical imaging. This course will cover the mathematical concepts needed for the deterministic analysis of imaging systems. Linear operator theory will be employed to describe continuous-to-continuous, continuous-to-discrete, and discrete-to-discrete mappings from objects to images. In addition, imaging systems will be analyzed in a statistical framework where stochastic models for objects and images will be introduced. Methodologies for objective assessment of image quality (OAIQ) will be introduced, which will address classification tasks, receiver operator characteristic (ROC) analysis, and salient aspects estimation theory. An introduction to numerical observers for quantification of OAIQ will be provided. Prerequisite: Concurrent enrollment in BIOE 485 and BIOE 483; or instructor approval. Restricted to students with graduate standing or consent of instructor."
BIOE,598,Subject offerings of new and developing areas of knowledge in bioengineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 graduate hours. No professional credit. May be repeated in the same or separate terms if topics vary.
BIOP,401,"Topics include equilibrium thermodynamics, kinetics, and quantum mechanics with applications to biological and chemical systems. 3 undergraduate hours. 3 graduate hours. Prerequisite: MCB 354 or MCB 450, or equivalent, or consent of instructor."
BTW,199,May be repeated.
BTW,250,"Teaches students to apply the principles of successful professional communication to workplace writing tasks. Students will also practice editing and supervising the writing of others. Assignments replicate typical business cases and situations, including a report that requires students to compile and interpret research. Prerequisite: Sophomore standing and completion of campus Composition I requirement."
BTW,261,"Teaches students to apply the principles of successful professional writing to a range of realistic cases in technical communication. Emphasizes flexible problem-solving skills and a clear style for communicating technical information to a range of readers. Assignments will include correspondence, instructions, proposals, and a technical report or similar project. Prerequisite: Sophomore standing and completion of campus Composition I requirement."
BTW,263,"Teaches students to apply principles of professional communication to the writing tasks typical of specific disciplines or professions. Assignments will vary, depending on the focus of the course, but will include a substantial report or project. Credit is not given for both BTW 263 and either BTW 250 or BTW 261. Prerequisite: Junior standing and completion of campus Composition I requirement."
BTW,271,"Students will study principles of persuasion as applied to writing and designing written communications for business and the professions. Included are ads, direct-mail campaigns, argumentative essays, proposals, and other types of writing designed to move readers to action. Prerequisite: Sophomore standing and completion of Composition I requirement."
BTW,279,"Theories and practical techniques of writing successful cover letters and resumes. Emphasizes adaptable communication and research skills, including use of career resources, investigation of potential employers, selection of appropriate jobs that fit students’ skills and interests, and targeting of resumes and cover letters to particular job applications. Same as LAS 279."
BTW,285,"Students will build a professional online web presence and familiarize themselves with social media management. Explores how principles of effective composition and writing as a process interact with different, increasingly popular digital media. In addition to hands-on activities and practice with digital design and web development techniques, students will create social media campaigns, write reports that visualize data, and analyze the diverse audiences that make up the internet. Prerequisite: Composition I."
BUS,101,"Introduces business students to professional responsibility. Develops the concept of professional responsibility within a personal and interpersonal context. Continues by expanding the concept to encompass the firm and explore the global corporate context. Introduces business majors and career paths and provides an understanding of ethical decision-making. Encourages the development of a professional identity and skills, preparing students to represent the College and the University with integrity and confidence in their careers. Prerequisite: First Semester Freshman, Intercollegiate and Off-Campus Transfer Students."
BUS,115,"Introduction to business and an overview of the role of the Gies College of Business and the University of Illinois in providing opportunities for undergraduates to prepare to become business leaders. Introduction to the Gies Honors Program, a leadership program for incoming first-year students in Gies Honors in Gies College of Business. Students will begin to work as a team to use leadership in service to all undergraduates in Gies College of Business. Prerequisite: First-year student in the Gies Honors Program."
BUS,120,"Introduction to business and an overview of the role of the College of Business and the University of Illinois in providing opportunities for undergraduates to prepare to become business leaders. Introduction to the College of Business Honors Program, a leadership program for approximately 40 incoming freshmen in the College of Business. Students will begin to work as a team to use leadership in service to all undergraduates in the College of Business. Approved for both letter and S/U grading. Prerequisite: Membership in freshman class of College of Business Honors Program."
BUS,199,Approved for both letter and S/U grading. May be repeated.
BUS,201,Introduces College of Business sophomores to the primary functional areas of business and how each functional area relates to comprise a business system. Students will engage in a dynamic simulation to develop an understanding of the interdependencies between the functional areas. The course will also highlight and continue to develop the teamwork and leadership skills required of successful managers. Prerequisite: Sophomore standing; BUS 101.
BUS,301,"Introduces students to the complexities of business by working on a real organizational problem with an actual client. Students will work with a client to identify, analyze, and present recommendations to solve an organizational problem. Requires students to apply problem-solving skills to uncertain situations as well as build and manage a professional team. Prerequisite: BUS 201-Business Dynamics."
BUS,302,"Examines in depth a number of the multi-dimensional attributes required to advance understanding of professional responsibility in the context of an ever-changing business environment, focusing on principles for addressing dilemmas that regularly arise in professional life in the work of business. Explores connections between academic integrity while in school and professional responsibility in later work life. Builds on BUS 101 and provides a breadth and depth of that body of knowledge that will enable highly successful students in BUS 302 to be considered for the role of section leaders in BUS 101. Aspiring section leaders in BUS 101 must have excelled in BUS to be considered for the position. Prerequisite: BUS 101; by application and interview."
BUS,315,"Focuses on expanding students' knowledge about higher education and the academy through the depth and breadth of University of Illinois faculty expertise. Each week, an invited faculty member will give a brief presentation on their research or area of expertise and lead an interactive discussion session with the students. Prerequisite: Third-year student in the Gies Scholar Program."
BUS,401,"This culminating Gies Business course enables seniors to develop the mindset and skills to lead purpose-centered lives. Students articulate their purpose, assess their skills for enacting it, and carry out self-directed projects related to skills-development and service. Supporting these activities are interactive lectures, speakers, and engagement with their peers. Through these collective experiences, students build practices and relationships that they can leverage for ongoing success as purpose-driven Gies alumni. 3 undergraduate hours. No graduate credit. Prerequisite: BUS 301."
CB,624,"Clinical aspects of nutritional deficiencies, imbalances, and toxicities in cattle, horses, sheep, and swine; presentation of therapeutic principles; and nutritional aspects of the etiology, prevention, and treatment of specific disease conditions. Prerequisite: Third-year standing in veterinary medicine curriculum or consent of instructor."
CB,626,"Clinical aspects of nutritional deficiencies, imbalances, and toxicities in small animals; presentation of therapeutic principles; and nutritional aspects of the etiology, prevention, and treatment of specific disease conditions. Prerequisite: Third-year standing in veterinary medicine curriculum or consent of instructor."
CEE,190,"Allows first year and transfer students to explore topics in Civil and Environmental Engineering through a project-based learning format. The course also develops competencies in critical skills such as technical writing in CEE, data management and computation, and design thinking in a collaborative team environment. Credit is not given for both CEE 190 and CEE 195."
CEE,195,"Civil engineering orientation including historical developments, education requirements, relation to science, professional practice, and specialties within the profession."
CEE,198,"Subject offerings of new and developing areas of knowledge in civil and environmental engineering intended to augment the existing curriculum. Approved for Letter and S/U grading. May be repeated up to 6 hours in the same semester and to a maximum of 9 hours in separate semesters, if topics vary. See Class Schedule or departmental course information for topics and prerequisites."
CEE,201,"Introduction to the formulation and solution of optimization problems in civil engineering from a quantitative economics-based perspective, integrated with the computational tool Python. Topics include engineering economics, classical optimization, linear and integer programming, network optimization problems, critical path methods, and decision theory. Credit is not given for both CEE 201 and IE 310. Prerequisite: MATH 231; CS 101 or CS 124; credit or concurrent registration in MATH 257 or MATH 415."
CEE,202,Identification and modeling of non-deterministic problems in civil engineering design and decision making integrated with the computational tool R. Introductory course on development of stochastic concepts and simulation models with application to design and decision problems in various areas of civil engineering. Credit is not given for both CEE 202 and IE 300. Prerequisite: Credit in CS 101 or CS 124; Credit or concurrent registration in MATH 241.
CEE,300,"Macroscopic mechanical behavior in terms of phenomena at the nanometer and micrometer levels for the three types of engineering materials (metals, ceramics, and polymers) with emphasis on specific materials used in civil engineering -- steel, rocks, clay, portland cement concrete, asphaltic concrete, and wood. Same as TAM 324. Credit is not given for both CEE 300 and either ME 330 or MSE 280. Prerequisite: Completion of Composition I general education requirement; CHEM 104; TAM 251."
CEE,310,"Design, planning, operation, management, and maintenance of transportation systems; integrated multi-modal transportation systems (highways, air, rail, etc.); layout of highways, airports, and railroads with traffic flow models, capacity analysis, and safety. Design of facilities and systems with life cycle costing procedures and criteria for optimization. Prerequisite: TAM 251; credit or concurrent registration in CEE 202."
CEE,320,"Construction engineering processes: contracting and bonding, planning and scheduling, estimating and project control, productivity models, and construction econometrics. Prerequisite: CEE 201; credit or concurrent registration in CS 101 and CEE 202."
CEE,330,"Sources, characteristics, transport, and effects of air and water contaminants; biological, chemical, and physical processes in water; atmospheric structure and composition; unit operations for air and water quality control; solid waste management; environmental quality standards. Prerequisite: CHEM 104 or CHEM 204."
CEE,340,"Introduction to evaluating multiple impacts of engineering decisions. Topics include mass and chemical balances; effects of engineered systems on local and global environment, health, and risk; economic, consumer, and social considerations; provision of conventional and renewable energy; and future projections. Design projects emphasize making appropriate decisions by quantifying total impact and evaluating social environment. Approved for Letter and S/U grading. Prerequisite: PHYS 211; PHYS 213 or ME200; CEE 201 or IE 310; CEE 202, IE 300, or STAT 200."
